source,relation,target
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV3622S-T
CVE-2017-20278,affects,Joomboost:JoomRecipe
CAPEC-677,maps_to,T1583.004
CWE-180,mapped_to,CAPEC-79
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AY50VGKP2-E2
CVE-2026-46937,has_weakness,CWE-287
CAPEC-578,maps_to,T1176
CAPEC-115,maps_to,T1621
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AY42VGK-E1
CWE-300,mapped_to,CAPEC-589
CVE-2026-48617,affects,nodejs:node
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-FZV7121S-W
CVE-2026-12157,affects,"wpdevteam:BetterDocs –  AI Documentation, Knowledge Base, Docs, Wikis, FAQ with Chatbot"
CAPEC-580,maps_to,T1055.008
CAPEC-547,maps_to,T1098.005
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV3622S-W-1
CAPEC-550,maps_to,T1035
CVE-2026-12390,affects,AzeoTech:DAQFactory
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZW5623S-T
CVE-2026-42658,has_weakness,CWE-79
CAPEC-51,maps_to,T1574.010
CVE-2016-20083,affects,henrikmelin:More Fields
CVE-2017-20278,has_weakness,CWE-89
CAPEC-186,maps_to,T1072
T1555.005,mitigated_by,Software Configuration
CAPEC-546,maps_to,T1480.001
CVE-2026-54807,has_weakness,CWE-266
CAPEC-384,maps_to,T1017
CVE-2026-35066,has_weakness,CWE-284
T1110,mitigated_by,User Account Management
CVE-2026-50876,affects,n/a:n/a
CAPEC-193,maps_to,T1219
CVE-2026-10829,affects,Moxa:NPort W2150A-W4/W2250A-W4 Series
CVE-2026-9260,affects,Canon Inc.:EOS Network Setting Tool for Windows
CVE-2026-47963,has_weakness,CWE-125
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Heat Pump Water Heaters / HEMS-Compatible Adapters / Wireless LAN Adapters (for Japan) RMCB-H7SE
CVE-2026-41049,affects,presire:qSnapper
CVE-2026-49954,affects,Discuz!:Discuz! X5.0
CAPEC-108,maps_to,T1562.003
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Refrigerators (for Japan) MR-WXD70K
CAPEC-185,maps_to,T1195.001
CAPEC-585,maps_to,T1590.001
CWE-412,mapped_to,CAPEC-25
CWE-302,mapped_to,CAPEC-21
CAPEC-466,maps_to,T1557
CAPEC-235,maps_to,T1124
CVE-2026-50200,affects,SteeltoeOSS:Steeltoe.Management.Endpoint
CWE-654,mapped_to,CAPEC-600
CAPEC-578,maps_to,T1505
CWE-201,mapped_to,CAPEC-621
CWE-680,mapped_to,CAPEC-9
CWE-181,mapped_to,CAPEC-120
CAPEC-454,maps_to,T1222
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZW2821-W-1
T1053.003,mitigated_by,User Account Management
CAPEC-551,maps_to,T1035
T1537,mitigated_by,Data Loss Prevention
CAPEC-566,maps_to,T1556.002
T1574.009,mitigated_by,Execution Prevention
CAPEC-445,maps_to,T1021.006
CVE-2024-24709,affects,Shareaholic:Shareaholic
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN35VG2B-ER1
CVE-2017-20252,affects,nextgeneditor:NextGen Editor
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-HR42VFK-ER2
